RetainedRef	DuplicateRef
ENST00000673339.1	ENST00000478970.6
ENST00000640018.1	ENST00000569674.1
ENST00000672985.1	ENST00000673415.1
ENST00000637829.1	ENST00000635879.1
ENST00000488725.1	ENST00000494616.1
ENST00000488725.1	ENST00000467727.1
ENST00000488725.1	ENST00000472425.1
ENST00000488725.1	ENST00000481441.1
ENST00000707884.1	ENST00000286788.9
ENST00000467338.1	ENST00000492186.1
ENST00000467338.1	ENST00000460970.1
ENST00000467338.1	ENST00000464892.1
ENST00000467338.1	ENST00000472316.1
ENST00000708930.1	ENST00000351500.7
ENST00000436995.5	ENST00000419338.5
ENST00000635035.2	ENST00000450454.7
ENST00000478718.1	ENST00000487219.1
ENST00000709130.1	ENST00000530626.5
ENST00000412470.6	ENST00000441180.6
ENST00000412470.6	ENST00000383279.8
ENST00000412470.6	ENST00000441804.6
ENST00000673174.1	ENST00000344578.8
ENST00000472314.5	ENST00000463283.5
ENST00000472314.5	ENST00000496691.5
ENST00000472314.5	ENST00000494485.5
ENST00000472314.5	ENST00000459932.5
ENST00000472314.5	ENST00000488426.5
ENST00000634011.1	ENST00000427999.6
ENST00000635429.1	ENST00000590134.1
ENST00000707214.1	ENST00000432670.6
ENST00000458593.5	ENST00000629838.2
ENST00000643677.1	ENST00000525497.5
ENST00000631854.1	ENST00000469922.1
ENST00000619763.4	ENST00000391764.7
ENST00000433314.5	ENST00000456770.5
ENST00000433314.5	ENST00000437089.5
ENST00000457762.3	ENST00000419605.3
ENST00000457762.3	ENST00000440124.4
ENST00000457762.3	ENST00000415857.3
ENST00000338042.11	ENST00000705985.1
ENST00000709199.1	ENST00000482723.1
ENST00000432433.5	ENST00000442717.5
ENST00000432433.5	ENST00000433291.5
ENST00000432433.5	ENST00000416183.5
ENST00000432433.5	ENST00000432466.5
ENST00000708127.1	ENST00000629956.2
ENST00000573508.1	ENST00000368660.1
ENST00000627715.1	ENST00000614425.1
ENST00000627715.1	ENST00000525844.1
ENST00000632248.1	ENST00000390364.3
ENST00000458622.1	ENST00000420837.1
ENST00000458622.1	ENST00000420039.1
ENST00000458622.1	ENST00000418059.1
ENST00000458622.1	ENST00000425721.5
ENST00000458622.1	ENST00000426722.5
ENST00000631962.1	ENST00000475613.6
ENST00000475221.5	ENST00000482768.5
ENST00000475221.5	ENST00000488736.5
ENST00000441642.1	ENST00000418461.1
ENST00000480293.5	ENST00000485304.5
ENST00000437792.1	ENST00000442377.1
ENST00000437792.1	ENST00000430135.1
ENST00000672705.1	ENST00000575090.1
ENST00000639672.1	ENST00000469503.1
ENST00000673500.1	ENST00000634512.1
ENST00000708593.1	ENST00000478081.1
ENST00000446100.5	ENST00000400575.5
ENST00000446100.5	ENST00000411724.5
ENST00000575125.6	ENST00000340073.9
ENST00000575125.6	ENST00000333385.11
ENST00000452577.6	ENST00000412263.6
ENST00000672189.1	ENST00000672697.1
ENST00000673039.1	ENST00000574278.5
ENST00000631581.1	ENST00000470349.5
ENST00000672035.1	ENST00000350356.7
ENST00000710015.1	ENST00000318504.12
ENST00000611965.1	ENST00000611047.1
ENST00000631839.1	ENST00000613767.4
ENST00000643037.1	ENST00000519925.1
ENST00000611367.1	ENST00000613587.1
ENST00000611367.1	ENST00000611573.1
ENST00000611367.1	ENST00000620258.4
ENST00000642583.1	ENST00000399591.5
ENST00000635269.1	ENST00000457471.1
ENST00000639780.1	ENST00000324822.15
ENST00000614089.1	ENST00000610932.1
ENST00000211402.10	ENST00000457796.6
ENST00000673021.1	ENST00000469976.2
ENST00000633273.1	ENST00000493819.1
ENST00000638027.1	ENST00000411719.1
ENST00000709366.1	ENST00000299578.10
ENST00000634076.1	ENST00000572389.1
ENST00000642698.1	ENST00000379597.7
ENST00000637631.1	ENST00000432169.5
ENST00000642486.2	ENST00000611366.5
ENST00000633585.1	ENST00000518224.1
ENST00000633392.1	ENST00000619922.1
ENST00000633332.1	ENST00000575130.5
ENST00000452916.1	ENST00000426470.1
ENST00000452916.1	ENST00000458026.1
ENST00000452916.1	ENST00000425139.1
ENST00000452916.1	ENST00000444621.1
ENST00000632039.1	ENST00000613840.1
ENST00000548592.1	ENST00000549722.1
ENST00000709561.1	ENST00000610467.2
ENST00000709561.1	ENST00000359594.3
ENST00000633287.1	ENST00000438658.6
ENST00000708249.1	ENST00000515341.6
ENST00000626219.1	ENST00000511830.2
ENST00000620289.4	ENST00000419113.5
ENST00000648955.1	ENST00000648159.1
ENST00000626555.2	ENST00000600925.1
ENST00000465605.1	ENST00000491968.1
ENST00000465605.1	ENST00000461317.1
ENST00000465605.1	ENST00000492342.1
ENST00000645841.1	ENST00000558649.5
ENST00000708130.1	ENST00000599959.5
ENST00000709733.1	ENST00000471482.5
ENST00000632246.1	ENST00000576585.1
ENST00000633699.1	ENST00000483643.7
ENST00000708540.1	ENST00000586496.1
ENST00000392095.8	ENST00000615090.4
ENST00000673241.1	ENST00000563965.5
ENST00000632373.1	ENST00000576999.5
ENST00000632373.1	ENST00000544994.5
ENST00000707209.1	ENST00000360868.7
ENST00000708577.1	ENST00000361170.7
ENST00000630040.1	ENST00000533012.1
ENST00000640265.1	ENST00000584669.5
ENST00000424145.6	ENST00000448768.6
ENST00000710624.1	ENST00000526632.5
ENST00000709976.1	ENST00000331220.6
ENST00000628106.1	ENST00000573026.1
ENST00000710478.1	ENST00000399634.6
ENST00000708023.1	ENST00000514530.2
ENST00000462603.5	ENST00000459770.5
ENST00000462603.5	ENST00000483830.5
ENST00000462603.5	ENST00000483008.5
ENST00000462603.5	ENST00000480345.5
ENST00000462603.5	ENST00000462709.5
ENST00000603077.1	ENST00000604102.1
ENST00000436165.1	ENST00000611531.1
ENST00000647392.1	ENST00000519320.1
ENST00000673204.1	ENST00000379412.9
ENST00000644012.1	ENST00000560845.1
ENST00000633488.1	ENST00000393461.2
ENST00000673535.1	ENST00000397333.4
ENST00000631871.1	ENST00000633968.1
ENST00000631871.1	ENST00000390575.1
ENST00000631871.1	ENST00000390588.1
ENST00000435498.5	ENST00000423881.5
ENST00000435498.5	ENST00000400450.1
ENST00000435498.5	ENST00000376316.5
ENST00000627598.1	ENST00000442481.5
ENST00000496782.1	ENST00000494205.1
ENST00000496782.1	ENST00000495450.1
ENST00000496782.1	ENST00000486346.1
ENST00000496782.1	ENST00000463913.1
ENST00000496782.1	ENST00000469161.1
ENST00000634648.1	ENST00000602548.2
ENST00000634443.1	ENST00000595342.1
ENST00000547681.2	ENST00000552474.2
ENST00000547681.2	ENST00000552522.2
ENST00000547681.2	ENST00000547353.2
ENST00000547681.2	ENST00000550688.2
ENST00000547681.2	ENST00000546539.2
ENST00000709506.1	ENST00000566581.5
ENST00000643537.1	ENST00000605206.1
ENST00000708990.1	ENST00000625975.1
ENST00000708990.1	ENST00000532142.1
ENST00000643746.1	ENST00000620219.4
ENST00000615784.2	ENST00000632209.1
ENST00000437214.5	ENST00000418283.5
ENST00000437214.5	ENST00000433658.5
ENST00000437214.5	ENST00000443298.5
ENST00000437214.5	ENST00000431338.5
ENST00000453763.5	ENST00000414208.5
ENST00000453763.5	ENST00000434880.5
ENST00000709354.1	ENST00000569885.6
ENST00000383425.8	ENST00000324540.9
ENST00000708333.1	ENST00000613766.1
ENST00000647443.1	ENST00000529726.1
ENST00000708725.1	ENST00000642001.1
ENST00000648090.1	ENST00000650330.1
ENST00000645798.1	ENST00000531896.5
ENST00000491355.1	ENST00000485747.1
ENST00000491355.1	ENST00000472432.1
ENST00000672149.1	ENST00000573214.5
ENST00000709795.1	ENST00000514557.1
ENST00000633727.1	ENST00000560794.1
ENST00000710468.1	ENST00000675280.1
ENST00000647253.1	ENST00000541616.1
ENST00000647081.1	ENST00000644529.1
ENST00000620606.4	ENST00000453777.1
ENST00000707302.1	ENST00000648531.1
ENST00000611888.4	ENST00000397169.3
ENST00000495919.5	ENST00000467455.1
ENST00000640100.1	ENST00000638841.1
ENST00000640100.1	ENST00000639017.1
ENST00000611560.4	ENST00000617902.4
ENST00000611560.4	ENST00000613310.4
ENST00000611560.4	ENST00000613712.4
ENST00000611560.4	ENST00000622524.4
ENST00000611560.4	ENST00000613888.4
ENST00000573492.1	ENST00000470104.1
ENST00000640539.1	ENST00000572752.1
ENST00000710469.1	ENST00000526891.2
ENST00000640502.1	ENST00000487693.5
ENST00000711164.1	ENST00000381187.8
ENST00000710578.1	ENST00000530548.5
ENST00000710253.1	ENST00000376357.1
ENST00000707543.1	ENST00000531078.1
ENST00000644017.1	ENST00000555471.1
ENST00000461380.1	ENST00000482297.1
ENST00000461380.1	ENST00000493354.1
ENST00000461380.1	ENST00000495807.1
ENST00000629606.2	ENST00000597224.5
ENST00000647001.1	ENST00000529402.1
ENST00000449501.1	ENST00000499304.2
ENST00000709949.1	ENST00000684113.1
ENST00000628221.1	ENST00000492041.1
ENST00000671964.1	ENST00000547589.1
ENST00000633984.1	ENST00000615288.4
ENST00000708010.1	ENST00000617870.4
ENST00000588437.5	ENST00000625212.2
ENST00000710598.1	ENST00000682152.1
ENST00000627634.1	ENST00000390303.3
ENST00000710187.1	ENST00000703933.1
ENST00000626837.1	ENST00000626892.1
ENST00000462178.5	ENST00000462194.5
ENST00000462178.5	ENST00000482931.5
ENST00000462178.5	ENST00000482379.5
ENST00000462178.5	ENST00000470083.5
ENST00000634557.1	ENST00000634818.1
ENST00000672770.1	ENST00000604116.1
ENST00000632432.1	ENST00000617639.1
ENST00000629566.1	ENST00000622571.1
ENST00000478799.5	ENST00000487912.5
ENST00000478799.5	ENST00000469629.5
ENST00000478799.5	ENST00000478362.5
ENST00000478799.5	ENST00000464830.5
ENST00000710179.1	ENST00000704037.1
ENST00000709292.1	ENST00000567719.2
ENST00000628950.1	ENST00000468290.1
ENST00000632681.1	ENST00000558358.1
ENST00000709209.1	ENST00000314401.3
ENST00000627138.1	ENST00000625273.1
ENST00000627138.1	ENST00000480271.1
ENST00000709919.1	ENST00000652233.1
ENST00000383323.6	ENST00000383487.7
ENST00000647200.1	ENST00000517093.1
ENST00000647200.1	ENST00000516220.1
ENST00000647200.1	ENST00000516726.1
ENST00000456365.5	ENST00000439536.5
ENST00000640000.1	ENST00000518115.1
ENST00000604066.1	ENST00000630556.1
ENST00000416369.6	ENST00000443773.6
ENST00000416369.6	ENST00000423043.6
ENST00000416369.6	ENST00000383214.8
ENST00000416369.6	ENST00000441953.6
ENST00000416369.6	ENST00000374675.7
ENST00000709043.1	ENST00000413851.3
ENST00000629940.2	ENST00000627987.2
ENST00000711411.1	ENST00000710643.1
ENST00000711411.1	ENST00000525884.1
ENST00000432632.5	ENST00000456789.5
ENST00000432632.5	ENST00000400272.5
ENST00000640373.1	ENST00000522451.5
ENST00000671708.1	ENST00000573428.1
ENST00000635356.1	ENST00000461794.1
ENST00000632764.1	ENST00000573908.1
ENST00000429097.5	ENST00000423574.5
ENST00000708309.1	ENST00000532602.2
ENST00000672330.1	ENST00000533931.1
ENST00000709626.1	ENST00000591341.1
ENST00000708051.1	ENST00000652721.1
ENST00000633619.1	ENST00000405826.1
ENST00000641884.1	ENST00000642108.1
ENST00000616773.1	ENST00000588941.1
ENST00000250113.12	ENST00000704984.1
ENST00000711278.1	ENST00000460206.6
ENST00000634481.1	ENST00000455102.6
ENST00000625700.1	ENST00000368202.4
ENST00000462204.1	ENST00000476814.1
ENST00000462204.1	ENST00000492831.1
ENST00000494315.1	ENST00000491382.1
ENST00000709373.1	ENST00000569461.1
ENST00000642852.1	ENST00000532557.5
ENST00000630774.1	ENST00000463509.1
ENST00000470893.5	ENST00000461235.5
ENST00000643899.1	ENST00000558280.1
ENST00000498654.1	ENST00000476225.1
ENST00000498654.1	ENST00000490570.1
ENST00000498654.1	ENST00000485505.1
ENST00000498654.1	ENST00000493180.1
ENST00000498654.1	ENST00000492678.1
ENST00000498654.1	ENST00000469125.1
ENST00000475750.1	ENST00000482849.1
ENST00000475750.1	ENST00000461168.1
ENST00000475750.1	ENST00000493379.1
ENST00000629317.2	ENST00000524534.5
ENST00000631524.1	ENST00000525619.5
ENST00000709929.1	ENST00000635252.1
ENST00000647494.1	ENST00000523697.1
ENST00000611912.4	ENST00000491216.5
ENST00000673253.1	ENST00000570504.5
ENST00000642546.1	ENST00000521686.1
ENST00000468055.1	ENST00000485552.1
ENST00000468055.1	ENST00000485860.1
ENST00000468055.1	ENST00000484556.1
ENST00000711170.1	ENST00000515319.6
ENST00000709609.1	ENST00000508151.1
ENST00000671860.1	ENST00000585468.1
ENST00000633934.1	ENST00000520531.5
ENST00000613637.3	ENST00000355665.7
ENST00000710205.1	ENST00000703934.1
ENST00000436068.2	ENST00000704744.1
ENST00000645049.1	ENST00000280663.12
ENST00000709710.1	ENST00000361609.4
ENST00000473788.1	ENST00000487636.1
ENST00000473788.1	ENST00000496955.1
ENST00000628814.2	ENST00000493632.5
ENST00000708803.1	ENST00000557592.5
ENST00000648639.1	ENST00000650232.1
ENST00000631497.1	ENST00000611910.4
ENST00000629267.1	ENST00000396841.4
ENST00000433801.6	ENST00000442043.6
ENST00000710077.1	ENST00000484499.5
ENST00000546634.1	ENST00000547931.1
ENST00000631676.1	ENST00000528475.1
ENST00000626914.1	ENST00000627430.1
ENST00000626914.1	ENST00000630820.1
ENST00000626914.1	ENST00000631225.1
ENST00000626914.1	ENST00000626035.1
ENST00000626914.1	ENST00000486425.1
ENST00000574737.1	ENST00000576125.1
ENST00000574737.1	ENST00000391353.1
ENST00000646676.2	ENST00000480911.6
ENST00000632865.1	ENST00000423648.1
ENST00000439927.5	ENST00000427214.5
ENST00000709211.1	ENST00000430386.1
ENST00000473768.1	ENST00000480076.1
ENST00000473768.1	ENST00000478151.1
ENST00000473768.1	ENST00000488531.1
ENST00000633047.1	ENST00000334239.12
ENST00000709248.1	ENST00000533161.5
ENST00000628525.2	ENST00000474089.5
ENST00000525417.1	ENST00000634570.1
ENST00000610777.2	ENST00000274150.4
ENST00000639928.1	ENST00000640488.1
ENST00000639928.1	ENST00000639165.1
ENST00000633704.1	ENST00000476829.5
ENST00000708021.1	ENST00000456507.1
ENST00000543091.1	ENST00000626698.1
ENST00000707421.1	ENST00000491418.5
ENST00000646018.1	ENST00000444595.6
ENST00000629092.2	ENST00000557492.5
ENST00000708814.1	ENST00000554965.1
ENST00000461499.1	ENST00000473355.5
ENST00000461499.1	ENST00000471842.1
ENST00000709026.1	ENST00000607083.1
ENST00000673488.1	ENST00000495052.5
ENST00000708178.1	ENST00000467735.2
ENST00000710913.1	ENST00000520091.1
ENST00000710667.1	ENST00000597275.5
ENST00000619621.1	ENST00000618796.1
ENST00000614221.1	ENST00000621759.2
ENST00000621336.1	ENST00000612137.1
ENST00000708197.1	ENST00000448803.6
ENST00000633311.1	ENST00000524394.2
ENST00000626829.2	ENST00000595687.6
ENST00000643555.2	ENST00000646309.2
ENST00000710486.1	ENST00000424767.7
ENST00000631395.1	ENST00000583888.1
ENST00000707618.1	ENST00000349124.3
ENST00000443405.2	ENST00000452195.2
ENST00000443405.2	ENST00000383512.2
ENST00000673318.1	ENST00000540610.5
ENST00000708367.1	ENST00000609684.3
ENST00000630001.4	ENST00000287239.10
ENST00000464106.1	ENST00000474452.1
ENST00000464106.1	ENST00000498001.1
ENST00000486119.1	ENST00000471882.1
ENST00000486119.1	ENST00000495371.1
ENST00000486119.1	ENST00000480084.1
ENST00000486119.1	ENST00000461572.1
ENST00000463430.1	ENST00000470514.1
ENST00000463430.1	ENST00000462421.1
ENST00000708590.1	ENST00000368236.8
ENST00000627719.1	ENST00000629220.1
ENST00000673425.1	ENST00000672677.1
ENST00000673425.1	ENST00000673616.1
ENST00000673425.1	ENST00000673405.1
ENST00000450323.6	ENST00000427405.6
ENST00000629792.1	ENST00000491070.1
ENST00000634070.1	ENST00000452198.1
ENST00000709707.1	ENST00000488581.5
ENST00000642663.1	ENST00000560370.3
ENST00000709762.1	ENST00000423150.1
ENST00000708296.1	ENST00000512229.6
ENST00000457432.6	ENST00000399661.4
ENST00000708433.1	ENST00000585289.1
ENST00000708783.1	ENST00000554699.1
ENST00000493210.5	ENST00000485030.5
ENST00000493210.5	ENST00000484533.5
ENST00000493210.5	ENST00000459649.5
ENST00000493210.5	ENST00000485103.5
ENST00000493210.5	ENST00000497353.5
ENST00000493210.5	ENST00000482141.5
ENST00000707621.1	ENST00000524028.1
ENST00000645055.1	ENST00000530687.1
ENST00000639917.2	ENST00000640308.2
ENST00000639917.2	ENST00000640477.2
ENST00000639917.2	ENST00000639230.2
ENST00000710125.1	ENST00000704266.1
ENST00000711173.1	ENST00000381222.8
ENST00000622356.1	ENST00000564573.1
ENST00000631539.1	ENST00000390548.6
ENST00000708327.1	ENST00000617769.1
ENST00000645546.1	ENST00000559136.1
ENST00000494232.5	ENST00000484321.5
ENST00000494232.5	ENST00000476288.5
ENST00000494232.5	ENST00000470276.5
ENST00000494232.5	ENST00000476222.5
ENST00000644865.1	ENST00000561034.1
ENST00000672080.2	ENST00000673589.2
ENST00000710127.1	ENST00000704268.1
ENST00000425097.6	ENST00000423604.6
ENST00000425097.6	ENST00000383542.8
ENST00000710449.1	ENST00000675888.1
ENST00000672443.1	ENST00000360325.11
ENST00000573261.1	ENST00000570916.1
ENST00000573261.1	ENST00000435672.1
ENST00000472606.1	ENST00000630403.1
ENST00000708215.1	ENST00000559994.5
ENST00000336866.7	ENST00000672146.3
ENST00000633993.1	ENST00000563380.1
ENST00000690233.1	ENST00000695372.1
ENST00000708595.1	ENST00000464356.6
ENST00000423868.1	ENST00000427826.1
ENST00000638492.1	ENST00000496727.1
ENST00000560724.3	ENST00000390597.3
ENST00000480637.1	ENST00000492529.1
ENST00000480637.1	ENST00000477800.1
ENST00000443407.5	ENST00000400694.6
ENST00000443407.5	ENST00000377136.5
ENST00000620320.4	ENST00000619890.1
ENST00000710028.1	ENST00000156109.7
ENST00000708927.1	ENST00000677199.1
ENST00000673530.1	ENST00000538784.2
ENST00000468297.1	ENST00000477855.1
ENST00000672749.1	ENST00000397555.3
ENST00000542728.5	ENST00000625206.2
ENST00000707533.1	ENST00000308219.13
ENST00000412535.5	ENST00000454038.5
ENST00000412535.5	ENST00000429833.5
ENST00000642929.1	ENST00000525171.5
ENST00000709591.1	ENST00000251646.8
ENST00000638893.1	ENST00000485846.5
ENST00000709243.1	ENST00000533872.5
ENST00000708091.1	ENST00000609604.5
ENST00000630596.2	ENST00000417017.5
ENST00000404514.7	ENST00000488124.5
ENST00000373783.3	ENST00000710287.1
ENST00000627890.1	ENST00000525582.1
ENST00000710408.1	ENST00000601685.1
ENST00000708980.1	ENST00000551724.5
ENST00000631545.1	ENST00000523400.5
ENST00000633418.1	ENST00000532055.5
ENST00000672528.1	ENST00000526282.1
ENST00000707273.1	ENST00000683119.1
ENST00000617801.4	ENST00000620303.1
ENST00000617801.4	ENST00000619349.1
ENST00000617801.4	ENST00000477255.1
ENST00000482220.1	ENST00000462016.1
ENST00000482220.1	ENST00000488730.1
ENST00000482220.1	ENST00000476989.1
ENST00000482220.1	ENST00000481712.1
ENST00000424476.5	ENST00000434502.5
ENST00000424476.5	ENST00000453119.5
ENST00000424476.5	ENST00000441753.5
ENST00000671749.1	ENST00000672040.1
ENST00000613485.4	ENST00000339757.11
ENST00000547952.2	ENST00000552711.2
ENST00000547952.2	ENST00000548040.2
ENST00000547952.2	ENST00000547641.2
ENST00000547952.2	ENST00000374607.5
ENST00000707493.1	ENST00000583828.1
ENST00000472089.1	ENST00000498800.1
ENST00000708009.1	ENST00000400454.6
ENST00000708879.1	ENST00000333643.4
ENST00000709430.1	ENST00000690847.1
ENST00000634090.1	ENST00000633160.1
ENST00000634090.1	ENST00000574011.1
ENST00000638345.1	ENST00000497798.1
ENST00000483351.5	ENST00000484649.5
ENST00000625811.1	ENST00000553664.1
ENST00000710575.1	ENST00000526074.5
ENST00000644791.1	ENST00000468083.1
ENST00000615586.4	ENST00000588107.5
ENST00000635260.1	ENST00000588618.5
ENST00000629233.3	ENST00000372725.6
ENST00000632536.1	ENST00000495411.1
ENST00000626437.1	ENST00000486486.1
ENST00000632306.1	ENST00000518422.1
ENST00000629008.1	ENST00000493132.1
ENST00000543314.1	ENST00000628134.1
ENST00000672541.1	ENST00000434354.6
ENST00000644756.2	ENST00000379568.4
ENST00000707872.1	ENST00000399973.1
ENST00000634041.1	ENST00000532003.5
ENST00000633576.1	ENST00000485679.1
ENST00000613018.4	ENST00000610305.4
ENST00000709241.1	ENST00000533186.5
ENST00000647411.1	ENST00000518255.5
ENST00000627954.1	ENST00000525251.1
ENST00000634013.1	ENST00000566419.1
ENST00000448210.5	ENST00000417223.5
ENST00000448210.5	ENST00000446310.5
ENST00000448210.5	ENST00000429382.5
ENST00000638213.1	ENST00000640829.1
ENST00000643840.1	ENST00000530207.1
ENST00000710042.1	ENST00000376563.6
ENST00000650672.1	ENST00000651079.1
ENST00000708118.1	ENST00000599435.5
ENST00000497181.1	ENST00000492951.1
ENST00000497181.1	ENST00000469120.1
ENST00000709589.1	ENST00000435883.1
ENST00000707881.1	ENST00000432178.5
ENST00000709032.1	ENST00000597595.6
ENST00000707790.1	ENST00000576573.1
ENST00000617147.4	ENST00000514066.6
ENST00000632671.1	ENST00000574953.5
ENST00000383431.6	ENST00000437010.5
ENST00000646257.1	ENST00000399644.5
ENST00000708496.1	ENST00000518133.5
ENST00000633529.1	ENST00000570622.1
ENST00000614435.2	ENST00000574424.5
ENST00000614435.2	ENST00000228811.8
ENST00000481398.5	ENST00000493915.5
ENST00000673279.1	ENST00000517068.1
ENST00000673279.1	ENST00000516340.1
ENST00000552607.2	ENST00000548618.2
ENST00000708962.1	ENST00000394384.7
ENST00000640795.1	ENST00000610608.1
ENST00000640795.1	ENST00000622350.3
ENST00000614804.4	ENST00000616770.4
ENST00000614804.4	ENST00000423529.5
ENST00000481076.5	ENST00000484137.5
ENST00000481076.5	ENST00000477482.5
ENST00000481076.5	ENST00000469633.1
ENST00000616849.4	ENST00000617095.4
ENST00000464023.1	ENST00000627316.1
ENST00000631242.2	ENST00000599504.5
ENST00000633638.1	ENST00000562545.5
ENST00000708172.1	ENST00000569261.2
ENST00000620259.2	ENST00000355125.3
ENST00000629159.1	ENST00000512451.5
ENST00000672644.1	ENST00000541953.5
ENST00000633728.1	ENST00000527741.5
ENST00000709229.1	ENST00000489198.1
ENST00000672032.1	ENST00000542942.1
ENST00000633426.1	ENST00000390627.3
ENST00000463612.1	ENST00000491022.1
ENST00000463612.1	ENST00000469771.1
ENST00000463612.1	ENST00000487261.1
ENST00000463612.1	ENST00000473489.1
ENST00000463612.1	ENST00000467981.1
ENST00000494996.1	ENST00000495209.1
ENST00000649967.1	ENST00000647642.1
ENST00000707588.1	ENST00000450145.2
ENST00000632190.1	ENST00000615653.1
ENST00000624677.1	ENST00000624903.1
ENST00000475256.5	ENST00000467043.5
ENST00000475256.5	ENST00000485127.5
ENST00000475256.5	ENST00000460999.5
ENST00000475256.5	ENST00000464436.5
ENST00000475256.5	ENST00000474673.5
ENST00000475256.5	ENST00000474864.5
ENST00000634936.1	ENST00000596919.5
ENST00000491147.1	ENST00000461857.1
ENST00000711271.1	ENST00000476066.6
ENST00000466867.5	ENST00000481637.5
ENST00000466867.5	ENST00000460069.5
ENST00000632322.1	ENST00000603741.1
ENST00000563186.5	ENST00000634168.1
ENST00000711380.1	ENST00000570950.1
ENST00000632772.1	ENST00000576427.1
ENST00000633749.1	ENST00000568738.1
ENST00000411848.1	ENST00000416389.5
ENST00000411848.1	ENST00000445319.5
ENST00000411848.1	ENST00000411944.5
ENST00000411848.1	ENST00000458306.1
ENST00000411848.1	ENST00000416018.5
ENST00000621578.4	ENST00000466404.5
ENST00000616878.4	ENST00000614298.4
ENST00000616878.4	ENST00000613298.4
ENST00000616878.4	ENST00000615361.4
ENST00000616878.4	ENST00000612159.4
ENST00000616878.4	ENST00000614954.4
ENST00000616878.4	ENST00000639455.1
ENST00000616878.4	ENST00000391726.7
ENST00000571897.1	ENST00000464536.1
ENST00000640205.2	ENST00000645014.2
ENST00000707300.1	ENST00000534350.5
ENST00000375595.8	ENST00000375612.8
ENST00000709210.1	ENST00000330793.2
ENST00000673088.1	ENST00000592164.1
ENST00000631456.1	ENST00000461928.1
ENST00000708476.1	ENST00000517684.2
ENST00000592367.5	ENST00000627446.2
ENST00000646729.1	ENST00000428351.2
ENST00000707880.1	ENST00000412942.1
ENST00000710037.1	ENST00000692023.1
ENST00000619608.4	ENST00000621867.4
ENST00000636832.1	ENST00000627980.1
ENST00000636832.1	ENST00000636972.1
ENST00000636832.1	ENST00000507103.1
ENST00000703226.1	ENST00000695533.1
ENST00000631840.1	ENST00000390415.1
ENST00000672298.1	ENST00000471328.1
ENST00000672298.1	ENST00000634108.1
ENST00000708147.1	ENST00000615794.1
ENST00000625707.1	ENST00000630694.1
ENST00000625707.1	ENST00000629440.1
ENST00000625707.1	ENST00000628964.1
ENST00000625707.1	ENST00000625332.1
ENST00000625707.1	ENST00000629942.1
ENST00000625707.1	ENST00000626429.1
ENST00000625707.1	ENST00000455183.1
ENST00000671771.1	ENST00000543695.5
ENST00000623078.1	ENST00000630654.1
ENST00000601284.5	ENST00000624369.3
ENST00000627505.2	ENST00000554166.5
ENST00000452084.6	ENST00000413136.6
ENST00000452084.6	ENST00000383204.8
ENST00000452084.6	ENST00000416548.6
ENST00000646721.1	ENST00000474518.1
ENST00000672970.1	ENST00000590772.1
ENST00000411487.1	ENST00000451397.1
ENST00000673497.1	ENST00000424720.6
ENST00000482403.5	ENST00000492749.5
ENST00000632214.1	ENST00000484654.1
ENST00000490454.5	ENST00000485166.5
ENST00000628817.2	ENST00000628370.2
ENST00000628817.2	ENST00000570441.5
ENST00000642609.1	ENST00000605847.5
ENST00000618114.2	ENST00000611880.4
ENST00000633105.1	ENST00000612392.1
ENST00000625949.1	ENST00000557613.1
ENST00000650426.1	ENST00000648174.1
ENST00000632236.1	ENST00000619858.1
ENST00000709010.1	ENST00000641406.1
ENST00000419675.1	ENST00000445130.1
ENST00000419675.1	ENST00000419172.1
ENST00000419675.1	ENST00000444412.1
ENST00000419675.1	ENST00000425790.1
ENST00000419675.1	ENST00000448895.1
ENST00000419675.1	ENST00000447192.1
ENST00000419675.1	ENST00000417033.1
ENST00000710048.1	ENST00000463529.4
ENST00000709898.1	ENST00000514682.5
ENST00000648589.1	ENST00000649645.1
ENST00000631730.1	ENST00000614368.1
ENST00000627473.1	ENST00000422209.1
ENST00000708378.1	ENST00000624887.1
ENST00000496666.1	ENST00000488767.1
ENST00000708302.1	ENST00000529310.6
ENST00000629761.2	ENST00000359570.9
ENST00000707891.1	ENST00000494296.1
ENST00000642758.1	ENST00000558096.5
ENST00000630643.2	ENST00000626305.2
ENST00000707642.1	ENST00000497464.5
ENST00000709734.1	ENST00000438879.5
ENST00000707669.1	ENST00000442539.1
ENST00000708112.1	ENST00000598824.5
ENST00000630393.1	ENST00000405809.2
ENST00000448877.2	ENST00000452708.2
ENST00000708079.1	ENST00000491989.1
ENST00000633250.1	ENST00000390247.2
ENST00000622848.2	ENST00000572141.1
ENST00000632587.1	ENST00000529272.5
ENST00000469277.1	ENST00000494562.1
ENST00000469277.1	ENST00000477162.1
ENST00000707410.1	ENST00000710297.1
ENST00000710567.1	ENST00000533894.5
ENST00000645202.1	ENST00000559551.5
ENST00000626049.1	ENST00000628888.2
ENST00000626049.1	ENST00000611952.1
ENST00000626049.1	ENST00000504458.1
ENST00000626049.1	ENST00000503931.5
ENST00000425748.6	ENST00000414149.6
ENST00000425748.6	ENST00000383474.8
ENST00000425748.6	ENST00000413349.6
ENST00000425748.6	ENST00000440907.6
ENST00000633933.1	ENST00000532704.1
ENST00000673493.1	ENST00000328078.3
ENST00000708759.1	ENST00000553365.5
ENST00000638248.1	ENST00000638563.2
